Pytorch,Tensorflow
conv0./.weight,conv0/W:0
conv0.bn.weight,conv0/bn/gamma:0
conv0.bn.bias,conv0/bn/beta:0
conv0.bn.running_mean,conv0/bn/mean/EMA:0
conv0.bn.running_var,conv0/bn/variance/EMA:0
d0.units.0.conv1.weight,group0/block0/conv1/W:0
d0.units.0.conv1/bn.weight,group0/block0/conv1/bn/gamma:0
d0.units.0.conv1/bn.bias,group0/block0/conv1/bn/beta:0
d0.units.0.conv1/bn.running_mean,group0/block0/conv1/bn/mean/EMA:0
d0.units.0.conv1/bn.running_var,group0/block0/conv1/bn/variance/EMA:0
d0.units.0.conv2.weight,group0/block0/conv2/W:0
d0.units.0.conv2/bn.weight,group0/block0/conv2/bn/gamma:0
d0.units.0.conv2/bn.bias,group0/block0/conv2/bn/beta:0
d0.units.0.conv2/bn.running_mean,group0/block0/conv2/bn/mean/EMA:0
d0.units.0.conv2/bn.running_var,group0/block0/conv2/bn/variance/EMA:0
d0.units.0.conv3.weight,group0/block0/conv3/W:0
d0.units.1.preact/bn.weight,group0/block1/preact/bn/gamma:0
d0.units.1.preact/bn.bias,group0/block1/preact/bn/beta:0
d0.units.1.preact/bn.running_mean,group0/block1/preact/bn/mean/EMA:0
d0.units.1.preact/bn.running_var,group0/block1/preact/bn/variance/EMA:0
d0.units.1.conv1.weight,group0/block1/conv1/W:0
d0.units.1.conv1/bn.weight,group0/block1/conv1/bn/gamma:0
d0.units.1.conv1/bn.bias,group0/block1/conv1/bn/beta:0
d0.units.1.conv1/bn.running_mean,group0/block1/conv1/bn/mean/EMA:0
d0.units.1.conv1/bn.running_var,group0/block1/conv1/bn/variance/EMA:0
d0.units.1.conv2.weight,group0/block1/conv2/W:0
d0.units.1.conv2/bn.weight,group0/block1/conv2/bn/gamma:0
d0.units.1.conv2/bn.bias,group0/block1/conv2/bn/beta:0
d0.units.1.conv2/bn.running_mean,group0/block1/conv2/bn/mean/EMA:0
d0.units.1.conv2/bn.running_var,group0/block1/conv2/bn/variance/EMA:0
d0.units.1.conv3.weight,group0/block1/conv3/W:0
d0.units.2.preact/bn.weight,group0/block2/preact/bn/gamma:0
d0.units.2.preact/bn.bias,group0/block2/preact/bn/beta:0
d0.units.2.preact/bn.running_mean,group0/block2/preact/bn/mean/EMA:0
d0.units.2.preact/bn.running_var,group0/block2/preact/bn/variance/EMA:0
d0.units.2.conv1.weight,group0/block2/conv1/W:0
d0.units.2.conv1/bn.weight,group0/block2/conv1/bn/gamma:0
d0.units.2.conv1/bn.bias,group0/block2/conv1/bn/beta:0
d0.units.2.conv1/bn.running_mean,group0/block2/conv1/bn/mean/EMA:0
d0.units.2.conv1/bn.running_var,group0/block2/conv1/bn/variance/EMA:0
d0.units.2.conv2.weight,group0/block2/conv2/W:0
d0.units.2.conv2/bn.weight,group0/block2/conv2/bn/gamma:0
d0.units.2.conv2/bn.bias,group0/block2/conv2/bn/beta:0
d0.units.2.conv2/bn.running_mean,group0/block2/conv2/bn/mean/EMA:0
d0.units.2.conv2/bn.running_var,group0/block2/conv2/bn/variance/EMA:0
d0.units.2.conv3.weight,group0/block2/conv3/W:0
d0.shortcut.weight,group0/block0/convshortcut/W:0
d0.blk_bna.bn.weight,group0/bnlast/bn/gamma:0
d0.blk_bna.bn.bias,group0/bnlast/bn/beta:0
d0.blk_bna.bn.running_mean,group0/bnlast/bn/mean/EMA:0
d0.blk_bna.bn.running_var,group0/bnlast/bn/variance/EMA:0
d1.units.0.conv1.weight,group1/block0/conv1/W:0
d1.units.0.conv1/bn.weight,group1/block0/conv1/bn/gamma:0
d1.units.0.conv1/bn.bias,group1/block0/conv1/bn/beta:0
d1.units.0.conv1/bn.running_mean,group1/block0/conv1/bn/mean/EMA:0
d1.units.0.conv1/bn.running_var,group1/block0/conv1/bn/variance/EMA:0
d1.units.0.conv2.weight,group1/block0/conv2/W:0
d1.units.0.conv2/bn.weight,group1/block0/conv2/bn/gamma:0
d1.units.0.conv2/bn.bias,group1/block0/conv2/bn/beta:0
d1.units.0.conv2/bn.running_mean,group1/block0/conv2/bn/mean/EMA:0
d1.units.0.conv2/bn.running_var,group1/block0/conv2/bn/variance/EMA:0
d1.units.0.conv3.weight,group1/block0/conv3/W:0
d1.units.1.preact/bn.weight,group1/block1/preact/bn/gamma:0
d1.units.1.preact/bn.bias,group1/block1/preact/bn/beta:0
d1.units.1.preact/bn.running_mean,group1/block1/preact/bn/mean/EMA:0
d1.units.1.preact/bn.running_var,group1/block1/preact/bn/variance/EMA:0
d1.units.1.conv1.weight,group1/block1/conv1/W:0
d1.units.1.conv1/bn.weight,group1/block1/conv1/bn/gamma:0
d1.units.1.conv1/bn.bias,group1/block1/conv1/bn/beta:0
d1.units.1.conv1/bn.running_mean,group1/block1/conv1/bn/mean/EMA:0
d1.units.1.conv1/bn.running_var,group1/block1/conv1/bn/variance/EMA:0
d1.units.1.conv2.weight,group1/block1/conv2/W:0
d1.units.1.conv2/bn.weight,group1/block1/conv2/bn/gamma:0
d1.units.1.conv2/bn.bias,group1/block1/conv2/bn/beta:0
d1.units.1.conv2/bn.running_mean,group1/block1/conv2/bn/mean/EMA:0
d1.units.1.conv2/bn.running_var,group1/block1/conv2/bn/variance/EMA:0
d1.units.1.conv3.weight,group1/block1/conv3/W:0
d1.units.2.preact/bn.weight,group1/block2/preact/bn/gamma:0
d1.units.2.preact/bn.bias,group1/block2/preact/bn/beta:0
d1.units.2.preact/bn.running_mean,group1/block2/preact/bn/mean/EMA:0
d1.units.2.preact/bn.running_var,group1/block2/preact/bn/variance/EMA:0
d1.units.2.conv1.weight,group1/block2/conv1/W:0
d1.units.2.conv1/bn.weight,group1/block2/conv1/bn/gamma:0
d1.units.2.conv1/bn.bias,group1/block2/conv1/bn/beta:0
d1.units.2.conv1/bn.running_mean,group1/block2/conv1/bn/mean/EMA:0
d1.units.2.conv1/bn.running_var,group1/block2/conv1/bn/variance/EMA:0
d1.units.2.conv2.weight,group1/block2/conv2/W:0
d1.units.2.conv2/bn.weight,group1/block2/conv2/bn/gamma:0
d1.units.2.conv2/bn.bias,group1/block2/conv2/bn/beta:0
d1.units.2.conv2/bn.running_mean,group1/block2/conv2/bn/mean/EMA:0
d1.units.2.conv2/bn.running_var,group1/block2/conv2/bn/variance/EMA:0
d1.units.2.conv3.weight,group1/block2/conv3/W:0
d1.units.3.preact/bn.weight,group1/block3/preact/bn/gamma:0
d1.units.3.preact/bn.bias,group1/block3/preact/bn/beta:0
d1.units.3.preact/bn.running_mean,group1/block3/preact/bn/mean/EMA:0
d1.units.3.preact/bn.running_var,group1/block3/preact/bn/variance/EMA:0
d1.units.3.conv1.weight,group1/block3/conv1/W:0
d1.units.3.conv1/bn.weight,group1/block3/conv1/bn/gamma:0
d1.units.3.conv1/bn.bias,group1/block3/conv1/bn/beta:0
d1.units.3.conv1/bn.running_mean,group1/block3/conv1/bn/mean/EMA:0
d1.units.3.conv1/bn.running_var,group1/block3/conv1/bn/variance/EMA:0
d1.units.3.conv2.weight,group1/block3/conv2/W:0
d1.units.3.conv2/bn.weight,group1/block3/conv2/bn/gamma:0
d1.units.3.conv2/bn.bias,group1/block3/conv2/bn/beta:0
d1.units.3.conv2/bn.running_mean,group1/block3/conv2/bn/mean/EMA:0
d1.units.3.conv2/bn.running_var,group1/block3/conv2/bn/variance/EMA:0
d1.units.3.conv3.weight,group1/block3/conv3/W:0
d1.shortcut.weight,group1/block0/convshortcut/W:0
d1.blk_bna.bn.weight,group1/bnlast/bn/gamma:0
d1.blk_bna.bn.bias,group1/bnlast/bn/beta:0
d1.blk_bna.bn.running_mean,group1/bnlast/bn/mean/EMA:0
d1.blk_bna.bn.running_var,group1/bnlast/bn/variance/EMA:0
d2.units.0.conv1.weight,group2/block0/conv1/W:0
d2.units.0.conv1/bn.weight,group2/block0/conv1/bn/gamma:0
d2.units.0.conv1/bn.bias,group2/block0/conv1/bn/beta:0
d2.units.0.conv1/bn.running_mean,group2/block0/conv1/bn/mean/EMA:0
d2.units.0.conv1/bn.running_var,group2/block0/conv1/bn/variance/EMA:0
d2.units.0.conv2.weight,group2/block0/conv2/W:0
d2.units.0.conv2/bn.weight,group2/block0/conv2/bn/gamma:0
d2.units.0.conv2/bn.bias,group2/block0/conv2/bn/beta:0
d2.units.0.conv2/bn.running_mean,group2/block0/conv2/bn/mean/EMA:0
d2.units.0.conv2/bn.running_var,group2/block0/conv2/bn/variance/EMA:0
d2.units.0.conv3.weight,group2/block0/conv3/W:0
d2.units.1.preact/bn.weight,group2/block1/preact/bn/gamma:0
d2.units.1.preact/bn.bias,group2/block1/preact/bn/beta:0
d2.units.1.preact/bn.running_mean,group2/block1/preact/bn/mean/EMA:0
d2.units.1.preact/bn.running_var,group2/block1/preact/bn/variance/EMA:0
d2.units.1.conv1.weight,group2/block1/conv1/W:0
d2.units.1.conv1/bn.weight,group2/block1/conv1/bn/gamma:0
d2.units.1.conv1/bn.bias,group2/block1/conv1/bn/beta:0
d2.units.1.conv1/bn.running_mean,group2/block1/conv1/bn/mean/EMA:0
d2.units.1.conv1/bn.running_var,group2/block1/conv1/bn/variance/EMA:0
d2.units.1.conv2.weight,group2/block1/conv2/W:0
d2.units.1.conv2/bn.weight,group2/block1/conv2/bn/gamma:0
d2.units.1.conv2/bn.bias,group2/block1/conv2/bn/beta:0
d2.units.1.conv2/bn.running_mean,group2/block1/conv2/bn/mean/EMA:0
d2.units.1.conv2/bn.running_var,group2/block1/conv2/bn/variance/EMA:0
d2.units.1.conv3.weight,group2/block1/conv3/W:0
d2.units.2.preact/bn.weight,group2/block2/preact/bn/gamma:0
d2.units.2.preact/bn.bias,group2/block2/preact/bn/beta:0
d2.units.2.preact/bn.running_mean,group2/block2/preact/bn/mean/EMA:0
d2.units.2.preact/bn.running_var,group2/block2/preact/bn/variance/EMA:0
d2.units.2.conv1.weight,group2/block2/conv1/W:0
d2.units.2.conv1/bn.weight,group2/block2/conv1/bn/gamma:0
d2.units.2.conv1/bn.bias,group2/block2/conv1/bn/beta:0
d2.units.2.conv1/bn.running_mean,group2/block2/conv1/bn/mean/EMA:0
d2.units.2.conv1/bn.running_var,group2/block2/conv1/bn/variance/EMA:0
d2.units.2.conv2.weight,group2/block2/conv2/W:0
d2.units.2.conv2/bn.weight,group2/block2/conv2/bn/gamma:0
d2.units.2.conv2/bn.bias,group2/block2/conv2/bn/beta:0
d2.units.2.conv2/bn.running_mean,group2/block2/conv2/bn/mean/EMA:0
d2.units.2.conv2/bn.running_var,group2/block2/conv2/bn/variance/EMA:0
d2.units.2.conv3.weight,group2/block2/conv3/W:0
d2.units.3.preact/bn.weight,group2/block3/preact/bn/gamma:0
d2.units.3.preact/bn.bias,group2/block3/preact/bn/beta:0
d2.units.3.preact/bn.running_mean,group2/block3/preact/bn/mean/EMA:0
d2.units.3.preact/bn.running_var,group2/block3/preact/bn/variance/EMA:0
d2.units.3.conv1.weight,group2/block3/conv1/W:0
d2.units.3.conv1/bn.weight,group2/block3/conv1/bn/gamma:0
d2.units.3.conv1/bn.bias,group2/block3/conv1/bn/beta:0
d2.units.3.conv1/bn.running_mean,group2/block3/conv1/bn/mean/EMA:0
d2.units.3.conv1/bn.running_var,group2/block3/conv1/bn/variance/EMA:0
d2.units.3.conv2.weight,group2/block3/conv2/W:0
d2.units.3.conv2/bn.weight,group2/block3/conv2/bn/gamma:0
d2.units.3.conv2/bn.bias,group2/block3/conv2/bn/beta:0
d2.units.3.conv2/bn.running_mean,group2/block3/conv2/bn/mean/EMA:0
d2.units.3.conv2/bn.running_var,group2/block3/conv2/bn/variance/EMA:0
d2.units.3.conv3.weight,group2/block3/conv3/W:0
d2.units.4.preact/bn.weight,group2/block4/preact/bn/gamma:0
d2.units.4.preact/bn.bias,group2/block4/preact/bn/beta:0
d2.units.4.preact/bn.running_mean,group2/block4/preact/bn/mean/EMA:0
d2.units.4.preact/bn.running_var,group2/block4/preact/bn/variance/EMA:0
d2.units.4.conv1.weight,group2/block4/conv1/W:0
d2.units.4.conv1/bn.weight,group2/block4/conv1/bn/gamma:0
d2.units.4.conv1/bn.bias,group2/block4/conv1/bn/beta:0
d2.units.4.conv1/bn.running_mean,group2/block4/conv1/bn/mean/EMA:0
d2.units.4.conv1/bn.running_var,group2/block4/conv1/bn/variance/EMA:0
d2.units.4.conv2.weight,group2/block4/conv2/W:0
d2.units.4.conv2/bn.weight,group2/block4/conv2/bn/gamma:0
d2.units.4.conv2/bn.bias,group2/block4/conv2/bn/beta:0
d2.units.4.conv2/bn.running_mean,group2/block4/conv2/bn/mean/EMA:0
d2.units.4.conv2/bn.running_var,group2/block4/conv2/bn/variance/EMA:0
d2.units.4.conv3.weight,group2/block4/conv3/W:0
d2.units.5.preact/bn.weight,group2/block5/preact/bn/gamma:0
d2.units.5.preact/bn.bias,group2/block5/preact/bn/beta:0
d2.units.5.preact/bn.running_mean,group2/block5/preact/bn/mean/EMA:0
d2.units.5.preact/bn.running_var,group2/block5/preact/bn/variance/EMA:0
d2.units.5.conv1.weight,group2/block5/conv1/W:0
d2.units.5.conv1/bn.weight,group2/block5/conv1/bn/gamma:0
d2.units.5.conv1/bn.bias,group2/block5/conv1/bn/beta:0
d2.units.5.conv1/bn.running_mean,group2/block5/conv1/bn/mean/EMA:0
d2.units.5.conv1/bn.running_var,group2/block5/conv1/bn/variance/EMA:0
d2.units.5.conv2.weight,group2/block5/conv2/W:0
d2.units.5.conv2/bn.weight,group2/block5/conv2/bn/gamma:0
d2.units.5.conv2/bn.bias,group2/block5/conv2/bn/beta:0
d2.units.5.conv2/bn.running_mean,group2/block5/conv2/bn/mean/EMA:0
d2.units.5.conv2/bn.running_var,group2/block5/conv2/bn/variance/EMA:0
d2.units.5.conv3.weight,group2/block5/conv3/W:0
d2.shortcut.weight,group2/block0/convshortcut/W:0
d2.blk_bna.bn.weight,group2/bnlast/bn/gamma:0
d2.blk_bna.bn.bias,group2/bnlast/bn/beta:0
d2.blk_bna.bn.running_mean,group2/bnlast/bn/mean/EMA:0
d2.blk_bna.bn.running_var,group2/bnlast/bn/variance/EMA:0
d3.units.0.conv1.weight,group3/block0/conv1/W:0
d3.units.0.conv1/bn.weight,group3/block0/conv1/bn/gamma:0
d3.units.0.conv1/bn.bias,group3/block0/conv1/bn/beta:0
d3.units.0.conv1/bn.running_mean,group3/block0/conv1/bn/mean/EMA:0
d3.units.0.conv1/bn.running_var,group3/block0/conv1/bn/variance/EMA:0
d3.units.0.conv2.weight,group3/block0/conv2/W:0
d3.units.0.conv2/bn.weight,group3/block0/conv2/bn/gamma:0
d3.units.0.conv2/bn.bias,group3/block0/conv2/bn/beta:0
d3.units.0.conv2/bn.running_mean,group3/block0/conv2/bn/mean/EMA:0
d3.units.0.conv2/bn.running_var,group3/block0/conv2/bn/variance/EMA:0
d3.units.0.conv3.weight,group3/block0/conv3/W:0
d3.units.1.preact/bn.weight,group3/block1/preact/bn/gamma:0
d3.units.1.preact/bn.bias,group3/block1/preact/bn/beta:0
d3.units.1.preact/bn.running_mean,group3/block1/preact/bn/mean/EMA:0
d3.units.1.preact/bn.running_var,group3/block1/preact/bn/variance/EMA:0
d3.units.1.conv1.weight,group3/block1/conv1/W:0
d3.units.1.conv1/bn.weight,group3/block1/conv1/bn/gamma:0
d3.units.1.conv1/bn.bias,group3/block1/conv1/bn/beta:0
d3.units.1.conv1/bn.running_mean,group3/block1/conv1/bn/mean/EMA:0
d3.units.1.conv1/bn.running_var,group3/block1/conv1/bn/variance/EMA:0
d3.units.1.conv2.weight,group3/block1/conv2/W:0
d3.units.1.conv2/bn.weight,group3/block1/conv2/bn/gamma:0
d3.units.1.conv2/bn.bias,group3/block1/conv2/bn/beta:0
d3.units.1.conv2/bn.running_mean,group3/block1/conv2/bn/mean/EMA:0
d3.units.1.conv2/bn.running_var,group3/block1/conv2/bn/variance/EMA:0
d3.units.1.conv3.weight,group3/block1/conv3/W:0
d3.units.2.preact/bn.weight,group3/block2/preact/bn/gamma:0
d3.units.2.preact/bn.bias,group3/block2/preact/bn/beta:0
d3.units.2.preact/bn.running_mean,group3/block2/preact/bn/mean/EMA:0
d3.units.2.preact/bn.running_var,group3/block2/preact/bn/variance/EMA:0
d3.units.2.conv1.weight,group3/block2/conv1/W:0
d3.units.2.conv1/bn.weight,group3/block2/conv1/bn/gamma:0
d3.units.2.conv1/bn.bias,group3/block2/conv1/bn/beta:0
d3.units.2.conv1/bn.running_mean,group3/block2/conv1/bn/mean/EMA:0
d3.units.2.conv1/bn.running_var,group3/block2/conv1/bn/variance/EMA:0
d3.units.2.conv2.weight,group3/block2/conv2/W:0
d3.units.2.conv2/bn.weight,group3/block2/conv2/bn/gamma:0
d3.units.2.conv2/bn.bias,group3/block2/conv2/bn/beta:0
d3.units.2.conv2/bn.running_mean,group3/block2/conv2/bn/mean/EMA:0
d3.units.2.conv2/bn.running_var,group3/block2/conv2/bn/variance/EMA:0
d3.units.2.conv3.weight,group3/block2/conv3/W:0
d3.shortcut.weight,group3/block0/convshortcut/W:0
d3.blk_bna.bn.weight,group3/bnlast/bn/gamma:0
d3.blk_bna.bn.bias,group3/bnlast/bn/beta:0
d3.blk_bna.bn.running_mean,group3/bnlast/bn/mean/EMA:0
d3.blk_bna.bn.running_var,group3/bnlast/bn/variance/EMA:0
conv_bot.weight,conv_bot/W:0
decoder.tp.u3.conva.weight,tp/u3/conva/W:0
decoder.tp.u3.dense.units.0.preact_bna/bn.weight,tp/u3/dense/blk/0/preact_bna/bn/gamma:0
decoder.tp.u3.dense.units.0.preact_bna/bn.bias,tp/u3/dense/blk/0/preact_bna/bn/beta:0
decoder.tp.u3.dense.units.0.preact_bna/bn.running_mean,tp/u3/dense/blk/0/preact_bna/bn/mean/EMA:0
decoder.tp.u3.dense.units.0.preact_bna/bn.running_var,tp/u3/dense/blk/0/preact_bna/bn/variance/EMA:0
decoder.tp.u3.dense.units.0.conv1.weight,tp/u3/dense/blk/0/conv1/W:0
decoder.tp.u3.dense.units.0.conv1/bn.weight,tp/u3/dense/blk/0/conv1/bn/gamma:0
decoder.tp.u3.dense.units.0.conv1/bn.bias,tp/u3/dense/blk/0/conv1/bn/beta:0
decoder.tp.u3.dense.units.0.conv1/bn.running_mean,tp/u3/dense/blk/0/conv1/bn/mean/EMA:0
decoder.tp.u3.dense.units.0.conv1/bn.running_var,tp/u3/dense/blk/0/conv1/bn/variance/EMA:0
decoder.tp.u3.dense.units.0.conv2.weight,tp/u3/dense/blk/0/conv2/W:0
decoder.tp.u3.dense.units.1.preact_bna/bn.weight,tp/u3/dense/blk/1/preact_bna/bn/gamma:0
decoder.tp.u3.dense.units.1.preact_bna/bn.bias,tp/u3/dense/blk/1/preact_bna/bn/beta:0
decoder.tp.u3.dense.units.1.preact_bna/bn.running_mean,tp/u3/dense/blk/1/preact_bna/bn/mean/EMA:0
decoder.tp.u3.dense.units.1.preact_bna/bn.running_var,tp/u3/dense/blk/1/preact_bna/bn/variance/EMA:0
decoder.tp.u3.dense.units.1.conv1.weight,tp/u3/dense/blk/1/conv1/W:0
decoder.tp.u3.dense.units.1.conv1/bn.weight,tp/u3/dense/blk/1/conv1/bn/gamma:0
